"part_id","dayofweek","Contact.Day.if.different.from.allocated.day","sday_id","day","month","year"
1,0,"",NA,NA,NA,2012
2,3,"",NA,NA,NA,2012
3,0,"",NA,NA,NA,2012
4,6,"Friday",NA,NA,NA,2012
5,2,"",NA,NA,NA,2012
6,0,"",NA,NA,NA,2012
7,0,"",NA,NA,NA,2012
8,6,"",NA,NA,NA,2012
9,0,"",NA,NA,NA,2012
10,2,"",NA,NA,NA,2012
11,2,"",NA,NA,NA,2012
12,1,"",NA,NA,NA,2012
13,4,"",NA,NA,NA,2012
14,0,"",NA,NA,NA,2012
15,1,"",NA,NA,NA,2012
16,6,"",NA,NA,NA,2012
17,6,"",NA,NA,NA,2012
18,1,"",NA,NA,NA,2012
19,1,"",NA,NA,NA,2012
20,6,"",NA,NA,NA,2012
21,1,"",NA,NA,NA,2012
22,5,"",NA,NA,NA,2012
23,1,"",NA,NA,NA,2012
24,0,"",NA,NA,NA,2012
25,5,"",NA,NA,NA,2012
26,3,"Monday",NA,NA,NA,2012
27,6,"",NA,NA,NA,2012
28,1,"",NA,NA,NA,2012
29,1,"",NA,NA,NA,2012
30,6,"",NA,NA,NA,2012
31,6,"",NA,NA,NA,2012
32,0,"",NA,NA,NA,2012
33,4,"Thursday",NA,NA,NA,2012
34,0,"",NA,NA,NA,2012
35,6,"",NA,NA,NA,2012
36,1,"Tuesday",NA,NA,NA,2012
37,1,"",NA,NA,NA,2012
38,3,"",NA,NA,NA,2012
39,6,"",NA,NA,NA,2012
40,6,"",NA,NA,NA,2012
41,0,"",NA,NA,NA,2012
42,4,"",NA,NA,NA,2012
43,1,"",NA,NA,NA,2012
44,6,"Tuesday",NA,NA,NA,2012
45,2,"",NA,NA,NA,2012
46,6,"",NA,NA,NA,2012
47,4,"",NA,NA,NA,2012
48,2,"",NA,NA,NA,2012
49,6,"",NA,NA,NA,2012
50,0,"",NA,NA,NA,2012
51,0,"",NA,NA,NA,2012
52,2,"Thursday",NA,NA,NA,2012
53,2,"",NA,NA,NA,2012
54,0,"",NA,NA,NA,2012
55,0,"Friday",NA,NA,NA,2012
56,6,"",NA,NA,NA,2012
57,0,"",NA,NA,NA,2012
58,2,"",NA,NA,NA,2012
59,2,"",NA,NA,NA,2012
60,0,"Saturday",NA,NA,NA,2012
61,5,"",NA,NA,NA,2012
62,2,"",NA,NA,NA,2012
63,0,"Friday",NA,NA,NA,2012
64,2,"",NA,NA,NA,2012
65,4,"",NA,NA,NA,2012
66,0,"",NA,NA,NA,2012
67,3,"",NA,NA,NA,2012
68,5,"",NA,NA,NA,2012
69,2,"",NA,NA,NA,2012
70,5,"",NA,NA,NA,2012
71,4,"",NA,NA,NA,2012
72,0,"",NA,NA,NA,2012
73,2,"",NA,NA,NA,2012
74,0,"Wednesday",NA,NA,NA,2012
75,6,"",NA,NA,NA,2012
76,0,"",NA,NA,NA,2012
77,6,"",NA,NA,NA,2012
78,6,"",NA,NA,NA,2012
79,6,"",NA,NA,NA,2012
80,0,"",NA,NA,NA,2012
81,0,"",NA,NA,NA,2012
82,6,"",NA,NA,NA,2012
83,5,"",NA,NA,NA,2012
84,0,"",NA,NA,NA,2012
85,1,"",NA,NA,NA,2012
86,1,"",NA,NA,NA,2012
87,2,"",NA,NA,NA,2012
88,6,"",NA,NA,NA,2012
89,2,"",NA,NA,NA,2012
90,0,"",NA,NA,NA,2012
91,4,"",NA,NA,NA,2012
92,2,"",NA,NA,NA,2012
93,0,"",NA,NA,NA,2012
94,6,"",NA,NA,NA,2012
95,2,"Friday",NA,NA,NA,2012
96,0,"Wednesday",NA,NA,NA,2012
97,5,"",NA,NA,NA,2012
98,0,"Monday",NA,NA,NA,2012
99,6,"",NA,NA,NA,2012
100,1,"",NA,NA,NA,2012
101,6,"",NA,NA,NA,2012
102,4,"",NA,NA,NA,2012
103,0,"",NA,NA,NA,2012
104,3,"",NA,NA,NA,2012
105,0,"",NA,NA,NA,2012
106,0,"",NA,NA,NA,2012
107,2,"",NA,NA,NA,2012
108,0,"",NA,NA,NA,2012
109,6,"",NA,NA,NA,2012
110,6,"",NA,NA,NA,2012
111,5,"",NA,NA,NA,2012
112,0,"",NA,NA,NA,2012
113,6,"",NA,NA,NA,2012
114,6,"",NA,NA,NA,2012
115,6,"",NA,NA,NA,2012
116,4,"",NA,NA,NA,2012
