part_id,part_age,part_gender
1,17,F
2,25,F
3,17,F
4,18,F
5,24,F
6,25,F
7,20,F
8,19,F
9,19,F
10,15,F
11,16,F
12,16,F
13,15,F
14,17,F
15,26,F
16,17,F
17,16,F
18,15,F
19,18,F
20,28,F
21,17,F
22,15,F
23,20,F
24,16,F
25,17,F
26,21,F
27,25,F
28,17,F
29,20,F
30,23,F
31,15,F
32,25,F
33,16,F
34,18,F
35,15,F
36,17,F
37,18,F
38,28,F
39,17,F
40,28,F
41,22,F
42,15,F
43,4,F
44,2,F
45,2,F
46,3,F
47,2,F
48,3,F
49,4,F
50,3,F
51,4,F
52,3,F
53,4,F
54,4,F
55,2,F
56,3,F
57,4,F
58,2,F
59,4,F
60,3,F
61,4,F
62,4,F
63,3,F
64,2,F
65,4,F
66,4,F
67,3,F
68,2,F
69,2,F
70,4,F
71,2,F
72,4,F
73,3,F
74,2,F
75,2,F
76,3,F
77,4,F
78,4,F
79,3,F
80,4,F
81,4,F
82,4,F
83,3,F
84,4,F
85,4,F
86,4,F
87,2,F
88,3,F
89,4,F
90,2,F
91,4,F
92,4,F
93,4,F
94,4,F
95,4,F
96,3,F
97,4,F
98,4,F
99,4,F
100,4,F
101,2,F
102,4,F
103,2,F
104,3,F
105,30,F
106,40,F
107,45,F
108,45,F
109,47,F
110,40,F
111,45,F
112,30,F
113,30,F
114,36,F
115,45,F
116,43,F
117,45,F
118,30,F
119,35,F
120,45,F
121,35,F
122,35,F
123,40,F
124,48,F
125,30,F
126,40,F
127,42,F
128,40,F
129,38,F
130,30,F
131,35,F
132,35,F
133,35,F
134,35,F
135,40,F
136,38,F
137,40,F
138,37,F
139,30,F
140,40,F
141,40,F
142,40,F
143,42,F
144,40,F
145,35,F
146,33,F
147,40,F
148,30,F
149,40,F
150,46,F
151,30,F
152,37,F
153,40,F
154,35,F
155,45,F
156,48,F
157,40,F
158,35,F
159,32,F
160,50,F
161,55,F
162,76,F
163,80,F
164,60,F
165,50,F
166,55,F
167,80,F
168,70,F
169,52,F
170,60,F
171,55,F
172,80,F
173,70,F
174,65,F
175,50,F
176,65,F
177,58,F
178,65,F
179,60,F
180,60,F
181,50,F
182,70,F
183,95,F
184,90,F
185,75,F
186,55,F
187,55,F
188,80,F
189,80,F
190,70,F
191,80,F
192,52,F
193,55,F
194,50,F
195,50,F
196,57,F
197,70,F
198,59,F
199,65,F
200,65,F
201,70,F
202,70,F
203,55,F
204,75,F
205,85,F
206,70,F
207,50,F
208,62,F
209,55,F
210,65,F
211,60,F
212,70,F
213,80,F
214,80,F
215,66,F
216,56,F
217,67,F
218,55,F
219,55,F
220,75,F
221,70,F
222,50,F
223,70,F
224,60,F
225,65,F
226,65,F
227,80,F
228,85,F
229,50,F
230,60,F
231,60,F
232,79,F
233,60,F
234,75,F
235,50,F
236,50,F
237,55,F
238,70,F
239,60,F
240,50,F
241,50,F
242,54,F
243,55,F
244,55,F
245,70,F
246,50,F
247,6,F
248,7,F
249,7,F
250,13,F
251,6,F
252,7,F
253,8,F
254,6,F
255,6,F
256,6,F
257,12,F
258,7,F
259,11,F
260,12,F
261,6,F
262,8,F
263,9,F
264,8,F
265,7,F
266,9,F
267,14,F
268,6,F
269,14,F
270,12,F
271,9,F
272,9,F
273,6,F
274,12,F
275,6,F
276,6,F
277,8,F
278,6,F
279,8,F
280,13,F
281,8,F
282,10,F
283,13,F
284,9,F
285,14,F
286,7,F
287,7,F
288,13,F
289,7,F
290,7,F
291,12,F
292,7,F
293,8,F
294,14,F
295,1,F
296,1,F
297,0,F
298,1,F
299,1,F
300,0,F
301,1,F
302,1,F
303,1,F
304,1,F
305,1,F
306,0,F
307,1,F
308,1,F
309,1,F
310,0,F
311,1,F
312,0,F
313,1,F
314,1,F
315,1,F
316,1,F
317,1,F
318,0,F
319,1,F
320,1,F
321,1,F
322,0,F
323,0,F
324,1,F
325,1,F
326,0,F
327,1,F
328,0,F
329,0,F
330,1,F
331,1,F
332,0,F
333,1,F
334,0,F
335,0,F
336,1,F
337,0,F
338,15,M
339,18,M
340,20,M
341,15,M
342,15,M
343,15,M
344,19,M
345,18,M
346,17,M
347,15,M
348,18,M
349,22,M
350,29,M
351,26,M
352,18,M
353,28,M
354,16,M
355,4,M
356,3,M
357,4,M
358,3,M
359,2,M
360,4,M
361,2,M
362,3,M
363,2,M
364,4,M
365,3,M
366,4,M
367,4,M
368,4,M
369,3,M
370,3,M
371,3,M
372,4,M
373,3,M
374,2,M
375,3,M
376,3,M
377,4,M
378,4,M
379,3,M
380,2,M
381,4,M
382,2,M
383,2,M
384,4,M
385,4,M
386,3,M
387,2,M
388,2,M
389,2,M
390,3,M
391,2,M
392,2,M
393,2,M
394,2,M
395,3,M
396,2,M
397,3,M
398,3,M
399,4,M
400,2,M
401,3,M
402,2,M
403,3,M
404,3,M
405,3,M
406,4,M
407,4,M
408,3,M
409,4,M
410,4,M
411,3,M
412,40,M
413,32,M
414,40,M
415,38,M
416,30,M
417,37,M
418,31,M
419,35,M
420,32,M
421,40,M
422,74,M
423,64,M
424,75,M
425,85,M
426,55,M
427,56,M
428,70,M
429,60,M
430,60,M
431,58,M
432,70,M
433,57,M
434,78,M
435,62,M
436,70,M
437,63,M
438,67,M
439,63,M
440,72,M
441,70,M
442,73,M
443,13,M
444,6,M
445,6,M
446,6,M
447,7,M
448,6,M
449,11,M
450,9,M
451,9,M
452,6,M
453,11,M
454,12,M
455,6,M
456,8,M
457,12,M
458,8,M
459,10,M
460,6,M
461,10,M
462,6,M
463,14,M
464,8,M
465,13,M
466,12,M
467,10,M
468,6,M
469,9,M
470,8,M
471,11,M
472,12,M
473,6,M
474,6,M
475,6,M
476,12,M
477,6,M
478,1,M
479,0,M
480,1,M
481,1,M
482,1,M
483,1,M
484,1,M
485,1,M
486,0,M
487,1,M
488,0,M
489,1,M
490,1,M
491,0,M
492,0,M
493,0,M
494,1,M
495,1,M
496,0,M
497,0,M
498,0,M
499,1,M
500,0,M
501,0,M
502,1,M
503,1,M
504,0,M
505,0,M
506,1,M
507,0,M
508,0,M
509,1,M
